id,new_old,enjoy,effective,interesting,overall,feel_now,informative_post,clear_post,like_speaker_post,age,gender,race,group
1,1,7,4,5,5.333333333,5,5,6,7,21,1,6,1
2,1,6,5,4,5,4,4,3,6,22,2,6,1
3,1,5,6,5,5.333333333,5,5,5,4,21,1,9,3
4,1,5,6,6,5.666666667,6,6,6,5,21,1,6,3
5,1,4,5,3,4,4,5,5,5,20,2,6,5
6,1,6,4,3,4.333333333,5,5,5,4,19,2,4,5
7,1,3,3,3,3,2,5,3,5,22,2,2,7
8,1,5,5,4,4.666666667,4,6,5,5,19,2,2,7
9,1,6,6,6,6,6,5,3,3,27,2,7,10
10,1,4,2,3,3,3,2,2,3,21,2,7,10
11,1,5,4,5,4.666666667,5,6,6,6,25,1,6,12
12,1,6,6,6,6,6,5,3,6,20,1,6,12
13,1,5,6,2,4.333333333,3,5,4,4,22,1,8,14
14,1,6,6,6,6,6,7,7,7,20,2,6,14
15,1,5,5,5,5,7,6,6,6,23,1,8,16
16,1,6,5,5,5.333333333,5,5,6,5,24,1,3,16
17,1,2,4,3,3,2,2,2,7,19,2,6,17
18,1,6,2,5,4.333333333,4,3,3,4,20,2,6,17
19,1,4,4,5,4.333333333,5,6,5,5,21,2,6,20
20,1,6,5,4,5,3,2,3,4,23,1,4,20
21,1,5,3,3,3.666666667,4,3,2,4,21,1,6,21
22,1,5,4,3,4,4,4,4,4,22,1,6,21
23,1,5,4,4,4.333333333,6,5,4,6,20,2,8,23
24,1,4,2,2,2.666666667,3,4,3,4,28,1,6,23
25,1,4,4,4,4,4,6,6,5,22,2,3,25
26,1,5,5,5,5,4,5,4,5,21,2,6,25
27,1,4,6,5,5,5,7,7,7,25,1,6,27
28,1,5,6,4,5,4,5,5,6,26,2,6,27
29,1,4,4,3,3.666666667,7,5,7,5,22,1,2,29
30,1,5,5,5,5,6,4,4,5,21,2,2,29
31,2,6,4,5,5,5,5,5,6,22,2,6,2
32,2,6,5,7,6,6,5,5,5,20,2,8,4
33,2,6,5,5,5.333333333,2,3,4,4,22,1,4,4
34,2,4,5,5,4.666666667,4,5,5,5,20,1,2,6
35,2,5,3,3,3.666666667,4,3,3,4,28,1,6,6
36,2,6,5,6,5.666666667,7,5,6,6,19,2,2,8
37,2,6,6,6,6,4,4,4,5,18,2,6,8
38,2,7,7,7,7,7,7,7,7,,1,6,9
39,2,5,4,5,4.666666667,4,5,5,5,30,1,2,9
40,2,6,7,7,6.666666667,7,5,5,5,21,2,6,11
41,2,5,5,5,5,3,7,7,6,20,1,3,11
42,2,7,7,7,7,6,7,7,7,22,1,6,13
43,2,6,7,6,6.333333333,6,6,6,6,20,1,6,13
44,2,7,5,5,5.666666667,2,2,3,4,21,4,9,15
45,2,4,5,3,4,4,5,5,4,21,1,4,15
46,2,4,6,6,5.333333333,4,4,5,5,21,2,2,17
47,2,6,5,6,5.666666667,5,5,5,4,22,2,3,17
48,2,7,7,7,7,5,5,4,4,21,2,6,19
49,2,5,5,5,5,4,4,3,3,20,2,3,19
50,2,5,3,5,4.333333333,5,4,6,6,26,2,2,22
51,2,7,7,7,7,7,6,6,7,,1,2,22
52,2,5,4,5,4.666666667,5,3,5,5,,1,4,24
53,2,5,4,4,4.333333333,4,4,5,5,20,1,6,24
54,2,5,7,7,6.333333333,4,4,2,4,,1,6,26
55,2,5,6,6,5.666666667,4,4,6,5,20,1,2,26
56,2,6,7,7,6.666666667,6,5,4,7,19,2,2,28
57,2,5,5,6,5.333333333,4,3,3,5,20,2,6,28
58,2,6,5,6,5.666666667,3,3,6,5,21,2,8,30
59,2,7,7,7,7,7,7,7,7,20,2,6,30
