id,speaker_listener,enjoy_old,interesting_old,effective_old,overall_old,enjoy_new,interesting_new,effective_new,overall_new,chose_new_old,enjoy_old_you,enjoy_new_you,new_old_talk,feel_now,enjoy_you_post,enjoy_post,interested_post,effective_post,informative_post,clear_post,age,gender,race,group
1,1,4,4,5,4.333333333,4,4,5,4.333333333,2,2,2,1,4,4,2,2,1,3,2,20,2,3,1
2,1,1,1,1,1,1,1,1,1,1,1,1,2,4,2,1,1,1,1,1,23,2,5,2
3,1,2,1,5,2.666666667,5,4,4,4.333333333,2,4,4,1,5,6,4,5,5,6,5,20,2,6,3
4,1,1,2,2,1.666666667,6,5,6,5.666666667,2,6,2,2,4,1,1,1,1,1,1,21,2,6,4
5,1,1,1,1,1,7,7,7,7,2,1,7,1,5,4,4,4,4,4,5,20,1,6,5
6,1,3,2,3,2.666666667,3,3,3,3,2,2,4,2,3,2,2,1,2,2,4,24,1,4,6
7,1,1,1,5,2.333333333,7,5,5,5.666666667,2,4,4,1,5,5,6,6,4,4,4,20,1,2,7
8,1,6,6,5,5.666666667,5,4,6,5,1,6,3,2,6,4,5,4,5,3,4,20,2,6,8
9,1,4,3,4,3.666666667,6,6,5,5.666666667,2,3,6,2,5,4,4,3,4,5,3,19,2,2,9
10,1,4,4,5,4.333333333,4,4,3,3.666666667,1,5,4,1,3,4,2,2,2,2,1,24,2,6,10
11,1,4,3,3,3.333333333,6,6,4,5.333333333,2,2,4,2,6,4,3,3,4,4,5,19,2,6,11
12,1,1,1,1,1,6,4,4,4.666666667,2,2,4,1,6,5,4,5,5,5,5,20,2,6,12
13,1,4,3,5,4,4,4,3,3.666666667,2,5,3,2,5,5,4,4,4,5,4,26,2,6,13
14,1,2,2,2,2,5,5,4,4.666666667,2,2,4,1,6,6,5,4,5,6,5,28,2,2,14
15,1,5,5,4,4.666666667,5,5,4,4.666666667,1,5,5,2,6,5,4,4,4,4,5,,2,4,15
16,1,3,2,3,2.666666667,4,3,4,3.666666667,2,4,4,1,4,4,4,4,4,5,5,19,1,2,16
17,1,5,3,4,4,4,4,4,4,1,3,3,2,4,3,3,4,2,3,3,20,2,2,17
18,1,4,6,7,5.666666667,4,4,3,3.666666667,1,6,5,1,5,6,4,3,6,6,4,20,2,2,18
19,1,2,1,1,1.333333333,4,3,2,3,2,2,2,2,3,2,1,1,1,3,3,25,2,6,19
20,1,6,2,3,3.666666667,2,6,5,4.333333333,2,2,5,1,5,5,4,5,4,4,5,21,2,6,20
21,1,6,5,5,5.333333333,4,5,4,4.333333333,1,6,4,1,4,3,1,1,2,2,2,20,2,6,21
22,1,1,2,3,2,7,6,5,6,2,3,5,2,5,6,3,4,5,4,6,20,2,4,22
23,1,2,2,3,2.333333333,7,4,4,5,2,4,3,1,4,5,3,5,4,5,4,18,1,2,23
24,1,2,2,3,2.333333333,2,1,4,2.333333333,2,1,1,2,3,4,2,3,1,2,3,21,2,6,24
25,1,3,2,1,2,7,5,7,6.333333333,2,7,7,1,5,5,4,3,4,4,6,20,2,4,25
26,1,5,6,4,5,5,6,4,5,2,5,5,2,4,4,2,1,5,5,5,22,1,6,26
27,1,3,3,5,3.666666667,3,5,3,3.666666667,1,4,3,1,5,6,6,6,5,5,6,24,2,4,27
28,1,3,3,6,4,5,4,2,3.666666667,1,5,5,2,4,2,2,2,3,3,2,,2,3,28
29,1,3,4,5,4,6,6,5,5.666666667,2,3,6,1,5,7,4,4,3,5,4,21,2,3,29
30,1,3,4,3,3.333333333,6,6,5,5.666666667,1,6,5,2,4,3,3,3,3,3,4,19,2,2,30
