id,enjoy_old,enjoy_new,interesting_old,interesting_new,effective_old,effective_b_new,speaker_enjoy_old,speaker_enjoy_new,choose,age,gender,old_index,new_index
1,1,4,2,5,2,4,5,1,2,33,1,1.666666667,4.333333333
2,7,7,7,7,7,7,7,7,2,32,1,7,7
3,5,6,5,6,5,5,5,5,1,47,2,5,5.666666667
4,3,5,2,5,4,4,4,5,2,30,2,3,4.666666667
5,6,2,6,2,7,1,4,4,1,45,2,6.333333333,1.666666667
6,1,6,2,5,4,5,3,3,2,29,1,2.333333333,5.333333333
7,5,1,5,1,5,3,3,5,1,30,1,5,1.666666667
8,4,2,5,3,1,7,1,7,2,31,2,3.333333333,4
9,5,6,6,5,5,5,6,6,1,32,1,5.333333333,5.333333333
10,6,4,7,4,7,2,6,6,1,26,1,6.666666667,3.333333333
11,5,3,5,3,6,2,6,5,1,29,1,5.333333333,2.666666667
12,3,5,4,4,5,3,7,7,1,34,1,4,4
13,1,7,3,4,1,6,4,4,2,30,2,1.666666667,5.666666667
14,4,5,5,5,4,5,4,5,2,68,1,4.333333333,5
15,1,7,5,7,4,7,4,7,2,28,2,3.333333333,7
16,2,5,1,6,2,5,2,6,2,24,1,1.666666667,5.333333333
17,1,1,1,1,1,1,5,4,2,33,1,1,1
18,3,6,4,7,6,6,6,6,2,30,2,4.333333333,6.333333333
19,3,6,3,6,4,5,3,6,2,35,1,3.333333333,5.666666667
20,5,5,4,4,4,4,6,5,2,28,1,4.333333333,4.333333333
21,1,1,1,1,1,1,4,4,2,58,1,1,1
22,1,1,1,1,1,1,4,7,2,24,2,1,1
23,3,6,2,6,2,6,4,6,2,41,2,2.333333333,6
24,6,5,6,4,7,5,6,5,1,40,1,6.333333333,4.666666667
25,2,6,2,6,1,6,6,6,2,43,2,1.666666667,6
26,2,4,2,5,3,3,2,5,2,44,2,2.333333333,4
27,1,7,5,7,5,7,4,4,2,53,2,3.666666667,7
28,3,5,2,5,2,5,6,6,2,52,1,2.333333333,5
29,5,5,4,6,5,5,4,6,2,35,1,4.666666667,5.333333333
30,3,5,1,5,3,5,4,4,2,38,1,2.333333333,5
31,4,5,5,4,4,4,3,5,2,23,1,4.333333333,4.333333333
32,6,5,6,5,6,6,6,3,2,33,1,6,5.333333333
33,1,1,1,1,1,1,2,2,2,24,1,1,1
34,1,6,2,7,2,7,1,7,2,67,2,1.666666667,6.666666667
35,3,7,2,7,5,5,3,7,2,24,1,3.333333333,6.333333333
36,5,1,5,1,6,4,3,6,1,41,1,5.333333333,2
37,6,2,6,2,6,2,6,6,1,43,1,6,2
38,6,3,6,2,6,2,6,6,1,33,2,6,2.333333333
39,5,6,5,6,4,6,4,6,2,49,2,4.666666667,6
40,6,4,5,3,5,4,5,4,1,34,1,5.333333333,3.666666667
41,1,5,1,5,4,5,6,6,2,66,2,2,5
42,5,7,5,7,6,7,4,4,2,51,2,5.333333333,7
43,7,7,5,6,4,7,4,7,2,42,2,5.333333333,6.666666667
44,4,4,4,5,4,5,4,4,2,,2,4,4.666666667
45,5,5,4,6,6,4,5,6,2,21,1,5,5
46,6,6,6,6,6,6,6,5,2,34,2,6,6
47,1,4,2,4,3,5,6,6,2,30,2,2,4.333333333
48,1,6,4,4,7,4,5,7,2,26,1,4,4.666666667
49,5,4,6,4,4,4,6,4,1,32,1,5,4
50,2,6,2,6,2,5,2,6,2,37,2,2,5.666666667
51,5,6,5,6,4,5,3,4,2,20,1,4.666666667,5.666666667
52,1,7,1,7,1,7,7,1,2,34,2,1,7
53,4,5,3,5,5,4,4,4,2,38,2,4,4.666666667
54,1,4,4,4,1,4,5,5,2,36,2,2,4
55,4,6,3,5,6,3,4,5,2,34,1,4.333333333,4.666666667
56,4,5,3,6,4,5,3,5,2,22,1,3.666666667,5.333333333
57,2,2,2,2,2,2,3,3,2,22,1,2,2
58,6,6,6,6,6,6,6,6,2,55,2,6,6
59,2,6,2,6,2,6,4,7,2,55,2,2,6
60,2,6,2,5,4,6,5,7,2,30,1,2.666666667,5.666666667
61,5,6,5,6,5,6,6,6,2,50,1,5,6
62,2,5,2,5,2,5,2,5,2,33,2,2,5
63,1,5,2,5,5,5,3,6,2,37,2,2.666666667,5
64,2,6,4,7,2,6,5,7,2,22,2,2.666666667,6.333333333
65,6,6,6,6,6,6,5,5,1,24,1,6,6
66,2,3,3,4,4,4,3,5,2,35,2,3,3.666666667
67,5,3,2,5,7,4,6,3,2,29,1,4.666666667,4
68,4,4,4,4,6,4,3,5,1,30,2,4.666666667,4
69,5,5,5,5,6,6,4,4,2,52,2,5.333333333,5.333333333
70,2,7,3,6,6,5,2,7,2,29,1,3.666666667,6
71,2,4,2,5,2,4,4,4,2,35,2,2,4.333333333
72,6,1,7,1,6,1,7,4,1,45,1,6.333333333,1
73,5,3,4,3,2,2,5,6,1,51,2,3.666666667,2.666666667
74,5,6,6,6,2,6,2,2,1,31,2,4.333333333,6
75,4,7,5,7,5,7,3,7,2,,2,4.666666667,7
76,4,5,5,4,4,5,4,5,2,29,1,4.333333333,4.666666667
77,1,4,1,4,1,4,4,7,2,28,2,1,4
78,4,6,4,5,4,5,5,5,2,21,1,4,5.333333333
79,4,5,3,5,3,5,5,5,2,33,2,3.333333333,5
80,2,7,2,7,6,5,4,7,2,45,1,3.333333333,6.333333333
81,4,3,4,4,5,4,5,5,1,36,1,4.333333333,3.666666667
82,3,6,3,6,5,5,2,6,2,59,1,3.666666667,5.666666667
83,2,6,2,7,1,6,4,7,2,63,2,1.666666667,6.333333333
84,5,7,4,7,5,6,5,5,2,61,1,4.666666667,6.666666667
85,6,5,6,5,6,4,7,4,1,29,1,6,4.666666667
86,2,7,2,7,3,7,4,7,2,36,2,2.333333333,7
87,4,4,4,5,5,4,4,4,2,26,1,4.333333333,4.333333333
88,6,6,7,3,7,2,3,7,1,27,2,6.666666667,3.666666667
89,2,5,3,6,4,5,3,6,2,32,1,3,5.333333333
90,3,5,3,5,3,5,3,5,2,50,2,3,5
91,5,5,5,5,5,5,6,5,1,35,2,5,5
92,5,6,5,6,7,5,5,5,2,25,1,5.666666667,5.666666667
93,2,7,4,7,4,7,3,7,2,36,1,3.333333333,7
94,2,6,2,7,2,7,7,7,2,51,2,2,6.666666667
95,1,7,1,7,1,7,1,7,2,56,2,1,7
96,3,3,2,2,3,4,3,4,1,32,2,2.666666667,3
97,4,4,4,4,4,4,4,4,2,25,1,4,4
98,4,7,4,7,5,7,7,7,2,63,2,4.333333333,7
99,4,6,3,6,5,4,5,6,2,36,2,4,5.333333333
100,3,7,2,6,5,3,3,6,2,30,1,3.333333333,5.333333333
101,3,2,5,3,5,3,4,5,2,24,2,4.333333333,2.666666667
102,1,4,1,4,4,7,7,7,2,24,1,2,5
103,4,4,6,4,4,4,5,4,1,29,1,4.666666667,4
104,1,6,1,6,1,5,3,7,2,35,2,1,5.666666667
105,4,4,4,4,5,5,5,3,1,25,1,4.333333333,4.333333333
106,1,6,3,5,5,6,3,5,2,37,1,3,5.666666667
107,5,3,5,4,6,2,5,4,1,23,1,5.333333333,3
108,1,6,1,6,1,6,1,7,2,51,1,1,6
109,3,5,2,5,5,5,4,4,2,27,1,3.333333333,5
110,2,6,1,6,1,4,3,6,2,28,1,1.333333333,5.333333333
111,3,7,4,7,7,7,6,6,2,58,2,4.666666667,7
112,2,7,3,5,5,2,1,7,2,27,1,3.333333333,4.666666667
113,7,7,4,4,4,4,6,6,2,33,2,5,5
114,3,4,2,5,5,5,2,5,2,43,1,3.333333333,4.666666667
115,2,6,1,7,2,7,3,7,2,32,2,1.666666667,6.666666667
116,1,6,1,6,1,6,1,7,2,35,1,1,6
117,6,4,6,4,4,4,5,4,1,67,2,5.333333333,4
118,1,6,1,6,5,6,2,6,2,27,1,2.333333333,6
119,3,5,3,5,4,4,4,4,2,30,1,3.333333333,4.666666667
120,2,6,2,6,2,6,2,6,2,55,1,2,6
121,2,5,3,5,3,5,4,5,2,29,1,2.666666667,5
122,1,1,1,1,1,1,1,1,1,23,2,1,1
123,4,5,4,5,4,5,4,4,2,30,2,4,5
124,4,6,4,6,6,6,6,6,2,28,1,4.666666667,6
125,7,7,7,4,7,4,7,4,1,30,1,7,5
126,3,6,2,6,3,4,2,5,2,29,1,2.666666667,5.333333333
127,5,3,5,1,6,1,6,5,1,34,1,5.333333333,1.666666667
