id,enjoy,effective,interesting,feel_now,seen_old_new,talk_old_new,age,gender,race,video
1,7,5,6,6,1,2,22,2,6,28
2,4,5,5,4,1,2,19,2,6,30
3,4,5,5,4,1,2,25,2,6,24
4,2,4,5,4,1,1,24,1,6,8
5,5,3,4,5,1,2,24,2,6,17
6,4,5,5,6,1,2,20,1,2,20
7,6,6,5,6,1,1,26,1,6,11
8,5,4,5,4,1,2,23,1,6,26
9,1,2,2,6,1,1,26,1,6,9
10,2,4,1,4,1,1,21,1,6,12
11,4,3,3,4,1,1,21,1,6,4
12,7,4,7,6,1,2,20,1,6,23
13,7,6,7,7,1,1,24,2,6,2
14,7,6,7,6,1,2,25,1,6,18
15,5,5,5,4,1,2,24,1,6,21
16,4,3,2,4,1,1,25,1,2,14
17,5,4,4,5,1,2,26,2,6,22
18,5,6,6,5,1,1,21,1,6,10
19,5,5,6,6,1,2,23,1,2,27
20,7,6,7,6,1,2,24,1,6,22
21,5,5,5,6,1,1,23,2,6,3
22,6,5,6,6,1,2,24,2,3,28
23,4,4,5,6,1,1,28,1,6,14
24,2,3,2,4,1,1,27,1,8,1
25,4,5,5,5,1,2,29,1,6,23
26,5,7,6,6,1,1,18,1,6,10
27,5,5,6,6,1,2,27,2,6,26
28,5,6,5,7,1,1,20,1,2,6
29,7,7,7,6,1,1,29,2,6,13
30,1,1,1,5,1,2,22,2,2,20
31,3,5,3,4,1,1,22,2,6,3
32,1,1,1,2,1,2,24,2,6,27
33,7,6,7,5,1,2,27,1,6,19
34,7,7,7,7,1,1,26,1,6,2
35,3,4,4,4,1,2,23,2,6,30
36,4,5,5,5,1,2,24,2,1,17
37,6,4,5,4,1,2,28,1,4,18
38,6,6,6,6,1,1,25,2,6,11
39,6,6,7,6,1,2,21,1,2,27
40,5,6,6,6,1,1,21,1,6,11
41,5,5,5,6,1,1,22,1,6,6
42,5,5,5,5,1,2,23,1,6,21
43,1,2,1,5,1,2,21,2,6,20
44,2,3,3,5,1,1,24,1,6,13
45,1,1,1,4,1,2,21,2,6,18
46,7,5,6,6,1,2,26,1,2,24
47,6,6,7,6,1,1,19,2,2,15
48,1,2,5,5,1,1,19,1,6,2
49,3,5,3,4,1,1,28,1,6,10
50,3,2,3,2,1,2,27,1,6,29
51,2,3,1,5,1,2,27,2,6,19
52,7,7,7,7,1,1,26,1,6,8
53,1,1,2,2,1,2,23,2,3,16
54,2,2,1,6,1,1,24,2,6,5
55,6,5,6,6,1,2,27,1,6,23
56,4,4,4,6,1,2,25,2,6,22
57,6,5,6,6,1,1,26,2,6,3
58,1,1,2,4,1,2,22,1,6,17
59,6,6,7,7,1,2,27,2,4,19
60,2,2,1,5,1,2,29,1,4,17
61,5,5,7,6,1,1,20,1,6,4
62,4,5,5,6,1,1,27,1,2,2
63,2,2,2,4,1,1,22,1,2,1
64,3,5,5,7,1,1,25,1,6,5
65,3,2,2,3,1,1,28,2,6,10
66,1,1,1,6,1,1,25,2,9,13
67,3,3,4,4,1,1,21,2,7,12
68,3,4,4,4,1,2,29,1,6,27
69,7,7,7,6,1,1,34,1,6,11
70,7,6,7,5,1,2,22,2,6,26
71,4,5,4,5,1,2,28,2,3,30
72,3,4,3,7,1,1,29,2,2,9
73,2,2,1,4,1,1,24,1,6,14
74,6,6,6,5,1,2,22,1,6,28
75,4,3,4,5,1,2,28,2,6,25
76,4,4,3,4,1,2,23,2,2,21
77,4,4,4,4,1,2,26,1,6,26
78,3,5,6,6,1,1,22,2,6,6
79,5,5,6,5,1,1,22,1,6,9
80,5,4,6,6,1,2,24,1,6,30
81,5,5,6,5,1,2,22,2,6,27
82,7,5,7,6,1,2,25,1,6,19
