low_gap_old_new,low_gap_enjoy,low_gap_interesting,low_gap_clear,low_gap_good,low_gap_gender,low_gap_age,,medium_gap_old_new,medium_gap_enjoy,medium_gap_interesting,medium_gap_clear,medium_gap_good,medium_gap_gender,medium_gap_age,,high_gap_old_new,high_gap_enjoy,high_gap_interesting,high_gap_clear,high_gap_good,high_gap_gender,high_gap_age,,w,x,m,y,,medium_gap_old_new,medium_gap_clear,medium_gap_good,high_gap_old_new,high_gap_clear,high_gap_good
1,7,7,7,7,2,30,,1,7,6,7,6.5,1,27,,1,7,7,7,7,2,28,,1,1,7,7,,1,7,6.5,1,7,7
1,7,7,7,7,2,43,,1,7,7,6,7,1,39,,1,7,7,7,7,1,46,,1,1,7,7,,1,6,7,1,7,7
1,7,7,7,7,1,30,,1,7,7,6,7,1,31,,1,7,7,7,7,1,18,,1,1,7,7,,1,6,7,1,7,7
1,7,6,6,6.5,1,24,,1,7,7,7,7,2,54,,1,7,7,7,7,2,64,,1,1,6,6.5,,1,7,7,1,7,7
1,7,6,7,6.5,1,39,,1,7,7,7,7,2,50,,1,7,6,7,6.5,1,47,,1,1,7,6.5,,1,7,7,1,7,6.5
1,7,6,7,6.5,1,33,,1,7,7,7,7,1,54,,1,7,7,7,7,1,26,,1,1,7,6.5,,1,7,7,1,7,7
1,7,7,7,7,2,27,,1,7,7,7,7,1,24,,1,7,7,7,7,1,21,,1,1,7,7,,1,7,7,1,7,7
1,7,7,7,7,2,34,,1,7,6,7,6.5,1,55,,1,7,7,7,7,1,35,,1,1,7,7,,1,7,6.5,1,7,7
1,7,7,7,7,1,32,,1,7,7,7,7,1,20,,1,7,7,7,7,2,23,,1,1,7,7,,1,7,7,1,7,7
1,7,7,7,7,1,48,,1,7,7,7,7,2,44,,1,7,7,7,7,1,25,,1,1,7,7,,1,7,7,1,7,7
1,7,6,7,6.5,2,28,,1,7,6,5,6.5,2,26,,1,7,7,7,7,2,29,,1,1,7,6.5,,1,5,6.5,1,7,7
1,7,7,7,7,2,32,,1,7,7,7,7,2,30,,1,7,7,6,7,2,47,,1,1,7,7,,1,7,7,1,6,7
1,7,7,6,7,1,39,,1,7,7,7,7,1,65,,1,7,5,6,6,1,22,,1,1,6,7,,1,7,7,1,6,6
1,7,7,7,7,2,27,,1,7,7,7,7,2,29,,1,7,7,7,7,2,28,,1,1,7,7,,1,7,7,1,7,7
1,7,7,6,7,2,35,,1,6,7,6,6.5,1,31,,1,7,7,7,7,1,32,,1,1,6,7,,1,6,6.5,1,7,7
