low_gap_enjoy_old,low_gap_enjoy_new,low_gap_you_enjoy,low_gap_interesting_old,low_gap_interesting_new,low_gap_clear_old,low_gap_clear_new,low_gap_gender,low_gap_age,,medium_gap_enjoy_old,medium_gap_enjoy_new,medium_gap_you_enjoy,medium_gap_interesting_old,medium_gap_interesting_new,medium_gap_clear_old,medium_gap_clear_new,medium_gap_gender,medium_gap_age,medium_gap_education,high_gap_enjoy_old,high_gap_enjoy_new,high_gap_you_enjoy,high_gap_interesting_old,high_gap_interesting_new,high_gap_clear_old,high_gap_clear_new,high_gap_gender,high_gap_age,,low_gap_good_new_old,low_gap_good,low_gap_clear,medium_gap_good_new_old,medium_gap_good,medium_gap_clear,high_gap_new_old,high_gap_good,high_gap_clear,,w,m,x,y,,z,w,x,m,y
4,5,5,4,5,6,6,1,23,,4,5,5,4,5,5,4,2,32,3,5,4,3,5,4,6,5,2,20,,1,5,6,1,5,4,1,4,5,,1,6,1,5,,2,1,1,6,5
4,6,6,4,6,4,6,1,60,,2,2,2,2,5,1,4,2,41,5,3,1,4,6,2,6,3,2,49,,1,6,6,1,3.5,4,1,1.5,3,,1,6,1,6,,2,1,1,6,6
5,3,5,5,7,6,6,1,41,,5,3,3,5,3,4,1,1,26,2,5,2,4,5,2,5,2,1,26,,1,5,6,1,3,1,1,2,2,,1,6,1,5,,2,1,1,6,5
5,3,5,6,7,6,7,1,27,,5,4,4,4,4,4,4,1,32,7,1,1,1,2,1,1,1,1,40,,1,5,7,1,4,4,1,1,1,,1,7,1,5,,2,1,1,7,5
4,5,5,4,5,6,5,1,62,,2,4,4,2,4,5,5,2,37,2,3,4,5,5,4,5,4,1,28,,1,5,5,1,4,5,1,4,4,,1,5,1,5,,2,1,1,5,5
1,7,7,1,7,7,7,2,28,,5,6,7,5,7,5,6,1,26,5,5,3,5,6,5,7,5,2,19,,1,7,7,1,6.5,6,1,4,5,,1,7,1,7,,2,1,1,7,7
5,7,7,4,7,7,7,2,52,,1,5,5,1,5,4,5,2,30,3,1,1,1,2,1,1,1,2,60,,1,7,7,1,5,5,1,1,1,,1,7,1,7,,2,1,1,7,7
2,4,4,3,5,2,5,1,39,,5,6,5,4,5,4,4,2,57,5,5,1,2,6,3,5,3,2,26,,1,4.5,5,1,5.5,4,1,2,3,,1,5,1,4.5,,2,1,1,5,4.5
3,5,6,3,5,5,5,2,34,,7,7,7,5,7,7,7,1,42,3,6,3,6,6,2,6,2,1,59,,1,5,5,1,7,7,1,2.5,2,,1,5,1,5,,2,1,1,5,5
7,7,7,7,1,7,1,1,25,,5,7,5,5,7,7,6,1,33,5,2,4,3,3,4,5,2,1,34,,1,4,1,1,7,6,1,4,2,,1,1,1,4,,2,1,1,1,4
5,4,5,5,5,6,4,2,39,,6,6,7,6,6,6,6,2,32,5,4,6,5,5,3,6,3,2,19,,1,4.5,4,1,6,6,1,4.5,3,,1,4,1,4.5,,2,1,1,4,4.5
6,6,6,6,6,7,6,1,21,,6,2,4,5,4,7,3,2,25,4,5,3,4,5,3,6,3,1,32,,1,6,6,1,3,3,1,3,3,,1,6,1,6,,2,1,1,6,6
2,3,1,1,3,6,4,1,34,,5,4,6,6,5,6,6,2,59,3,4,4,6,5,5,5,5,2,27,,1,3,4,1,4.5,6,1,4.5,5,,1,4,1,3,,2,1,1,4,3
6,3,7,7,7,7,7,2,22,,7,6,6,6,6,7,6,2,29,3,5,3,4,5,3,6,3,1,43,,1,5,7,1,6,6,1,3,3,,1,7,1,5,,2,1,1,7,5
3,5,6,3,5,7,7,1,31,,1,5,4,4,1,6,7,2,42,7,5,2,2,4,2,4,1,1,19,,1,5,7,1,3,7,1,2,1,,1,7,1,5,,2,1,1,7,5
5,4,6,6,7,6,6,1,20,,5,4,6,5,4,6,4,1,29,3,3,2,2,3,2,4,3,1,19,,1,5.5,6,1,4,4,1,2,3,,1,6,1,5.5,,2,1,1,6,5.5
6,2,4,7,2,7,7,1,26,,5,3,6,5,3,6,6,2,39,5,5,5,6,5,5,5,4,1,22,,1,2,7,1,3,6,1,5,4,,1,7,1,2,,2,1,1,7,2
2,5,5,5,6,4,6,1,21,,4,5,3,4,4,7,4,1,26,5,5,5,5,5,5,2,2,2,25,,1,5.5,6,1,4.5,4,1,5,2,,1,6,1,5.5,,2,1,1,6,5.5
4,6,6,4,6,7,6,2,27,,6,2,6,5,2,7,5,1,31,5,5,4,4,5,4,4,2,2,29,,1,6,6,1,2,5,1,4,2,,1,6,1,6,,2,1,1,6,6
7,7,7,7,7,7,7,1,24,,4,5,4,4,5,6,6,2,28,5,2,4,4,2,4,4,4,2,23,,1,7,7,1,5,6,1,4,4,,1,7,1,7,,2,1,1,7,7
3,6,6,3,6,7,6,1,21,,2,6,2,3,3,6,6,2,68,7,3,4,2,2,3,4,3,1,20,,1,6,6,1,4.5,6,1,3.5,3,,1,6,1,6,,2,1,1,6,6
4,6,5,3,5,4,4,2,26,,4,4,4,4,4,7,6,1,27,4,5,6,7,5,7,6,5,1,18,,1,5.5,4,1,4,6,1,6.5,5,,1,4,1,5.5,,2,1,1,4,5.5
6,5,5,6,5,6,5,1,37,,2,2,2,2,2,6,4,1,40,4,5,6,6,5,6,6,6,1,26,,1,5,5,1,2,4,1,6,6,,1,5,1,5,,2,1,1,5,5
6,3,6,5,3,7,3,2,19,,5,7,7,5,7,7,6,2,41,3,5,2,2,6,2,6,1,2,38,,1,3,3,1,7,6,1,2,1,,1,3,1,3,,2,1,1,3,3
4,6,5,5,6,7,6,1,26,,3,6,6,2,6,7,6,1,31,6,5,1,2,5,2,6,1,1,23,,1,6,6,1,6,6,1,1.5,1,,1,6,1,6,,2,1,1,6,6
4,5,7,4,5,6,6,2,27,,3,5,4,3,5,5,6,1,34,3,3,4,5,4,4,5,2,1,24,,1,5,6,1,5,6,1,4,2,,1,6,1,5,,2,1,1,6,5
4,4,5,4,4,6,6,1,42,,7,1,7,7,5,7,2,2,46,3,6,3,2,5,2,7,1,1,36,,1,4,6,1,3,2,1,2.5,1,,1,6,1,4,,2,1,1,6,4
5,4,5,4,6,4,2,1,38,,4,6,6,3,7,7,6,1,43,3,2,3,2,1,2,3,3,1,22,,1,5,2,1,6.5,6,1,2.5,3,,1,2,1,5,,2,1,1,2,5
5,6,5,5,6,7,7,1,37,,1,6,6,2,6,6,4,2,24,4,5,3,5,5,4,4,2,1,31,,1,6,7,1,6,4,1,3.5,2,,1,7,1,6,,2,1,1,7,6
3,5,4,3,5,6,6,1,32,,2,6,6,2,6,7,6,2,28,7,3,3,1,3,3,2,2,2,59,,1,5,6,1,6,6,1,3,2,,1,6,1,5,,2,1,1,6,5
5,2,6,5,2,5,3,2,29,,2,1,1,2,1,2,1,1,33,5,5,2,2,5,2,5,1,1,27,,1,2,3,1,1,1,1,2,1,,1,3,1,2,,2,1,1,3,2
7,7,7,7,7,7,7,2,55,,4,5,6,5,6,6,6,1,31,2,6,3,4,6,3,7,5,2,24,,1,7,7,1,5.5,6,1,3,5,,1,7,1,7,,2,1,1,7,7
3,6,6,3,6,7,7,1,23,,5,6,6,6,6,6,6,2,54,4,3,1,2,4,2,5,2,2,40,,1,6,7,1,6,6,1,1.5,2,,1,7,1,6,,2,1,1,7,6
2,6,7,2,6,7,7,2,57,,4,5,4,5,5,5,5,1,54,7,5,3,5,5,4,4,2,1,44,,1,6,7,1,5,5,1,3.5,2,,1,7,1,6,,2,1,1,7,6
6,7,7,5,7,7,6,2,33,,3,4,3,3,3,6,6,2,53,5,3,3,2,3,3,3,3,2,33,,1,7,6,1,3.5,6,1,3,3,,1,6,1,7,,2,1,1,6,7
4,6,7,4,4,7,7,1,25,,3,5,5,3,6,6,5,1,29,7,5,2,3,3,2,5,2,2,46,,1,5,7,1,5.5,5,1,2,2,,1,7,1,5,,2,1,1,7,5
7,7,7,7,7,7,7,1,27,,3,4,6,4,5,6,6,1,25,6,7,1,5,6,2,7,1,1,25,,1,7,7,1,4.5,6,1,1.5,1,,1,7,1,7,,2,1,1,7,7
5,7,7,5,7,7,6,1,27,,4,5,4,3,5,6,4,2,33,4,3,3,2,2,2,5,6,1,20,,1,7,6,1,5,4,1,2.5,6,,1,6,1,7,,2,1,1,6,7
7,5,7,7,5,7,2,1,25,,4,2,2,4,3,4,3,2,24,3,5,3,5,5,5,5,2,1,23,,1,5,2,1,2.5,3,1,4,2,,1,2,1,5,,2,1,1,2,5
1,4,5,1,4,7,6,1,44,,5,4,5,5,4,7,5,1,24,5,5,1,3,5,1,5,4,1,34,,1,4,6,1,4,5,1,1,4,,1,6,1,4,,2,1,1,6,4
4,2,2,4,3,4,2,1,20,,4,6,6,4,5,5,5,1,29,4,5,3,5,4,3,5,2,2,53,,1,2.5,2,1,5.5,5,1,3,2,,1,2,1,2.5,,2,1,1,2,2.5
3,5,5,2,6,6,5,2,23,,4,6,5,3,4,5,5,1,27,5,6,3,5,6,5,7,2,1,24,,1,5.5,5,1,5,5,1,4,2,,1,5,1,5.5,,2,1,1,5,5.5
5,5,6,5,6,6,6,2,21,,3,5,6,3,6,6,6,2,25,3,1,7,7,1,7,7,7,1,28,,1,5.5,6,1,5.5,6,1,7,7,,1,6,1,5.5,,2,1,1,6,5.5
4,6,6,4,6,6,5,1,20,,2,5,4,5,6,7,7,2,27,6,5,2,4,5,4,6,2,1,22,,1,6,5,1,5.5,7,1,3,2,,1,5,1,6,,2,1,1,5,6
5,6,6,6,6,6,6,2,24,,3,5,5,3,5,5,5,1,27,3,3,6,5,3,7,6,5,1,37,,1,6,6,1,5,5,1,6.5,5,,1,6,1,6,,2,1,1,6,6
7,7,7,7,7,7,7,2,34,,5,4,5,4,6,7,6,1,49,5,5,2,3,6,3,7,4,1,41,,1,7,7,1,5,6,1,2.5,4,,1,7,1,7,,2,1,1,7,7
3,6,5,3,3,6,5,1,25,,3,5,6,3,5,7,5,1,29,5,4,2,3,5,2,6,3,2,23,,1,4.5,5,1,5,5,1,2,3,,1,5,1,4.5,,2,1,1,5,4.5
4,7,7,5,7,7,7,1,29,,5,5,5,5,5,5,5,2,32,5,5,4,5,4,4,5,5,1,25,,1,7,7,1,5,5,1,4,5,,1,7,1,7,,2,1,1,7,7
1,4,1,1,4,6,5,2,25,,5,6,7,3,7,6,6,1,28,5,3,2,2,2,2,4,1,2,33,,1,4,5,1,6.5,6,1,2,1,,1,5,1,4,,2,1,1,5,4
7,7,7,7,7,7,7,2,25,,7,7,7,7,6,7,6,1,29,4,5,5,5,5,5,4,4,2,55,,1,7,7,1,6.5,6,1,5,4,,1,7,1,7,,2,1,1,7,7
5,3,5,6,5,7,5,1,35,,4,6,6,4,6,6,6,1,27,3,5,3,5,5,3,6,2,2,54,,1,4,5,1,6,6,1,3,2,,1,5,1,4,,2,1,1,5,4
4,4,2,2,2,3,3,1,20,,4,5,5,5,4,6,5,2,49,4,5,2,4,4,4,5,3,1,26,,1,3,3,1,4.5,5,1,3,3,,1,3,1,3,,2,1,1,3,3
6,6,6,6,7,7,7,2,26,,5,4,5,5,4,5,4,2,30,5,4,3,2,3,2,2,3,2,26,,1,6.5,7,1,4,4,1,2.5,3,,1,7,1,6.5,,2,1,1,7,6.5
2,4,5,2,4,4,4,1,22,,4,6,7,4,7,5,6,1,19,2,5,4,6,5,4,5,4,1,22,,1,4,4,1,6.5,6,1,4,4,,1,4,1,4,,2,1,1,4,4
4,7,7,4,7,7,5,1,24,,2,5,6,2,7,2,5,2,23,5,4,1,4,4,2,5,1,1,43,,1,7,5,1,6,5,1,1.5,1,,1,5,1,7,,2,1,1,5,7
6,4,5,5,6,7,7,2,22,,5,6,6,5,6,6,4,2,23,5,6,4,7,7,5,7,5,2,58,,1,5,7,1,6,4,1,4.5,5,,1,7,1,5,,2,1,1,7,5
3,6,6,2,5,6,6,1,33,,5,4,4,5,4,2,3,1,21,3,7,1,4,5,1,5,3,2,60,,1,5.5,6,1,4,3,1,1,3,,1,6,1,5.5,,2,1,1,6,5.5
6,7,7,6,7,5,7,1,47,,3,5,5,3,5,6,6,1,39,5,4,3,2,4,3,3,3,2,26,,1,7,7,1,5,6,1,3,3,,1,7,1,7,,2,1,1,7,7
5,5,7,5,5,6,6,1,43,,4,5,5,5,6,5,6,1,53,7,3,6,6,3,6,6,4,1,34,,1,5,6,1,5.5,6,1,6,4,,1,6,1,5,,2,1,1,6,5
4,4,4,6,5,6,5,1,27,,1,5,3,2,4,7,6,1,60,3,2,4,1,2,4,3,3,2,27,,1,4.5,5,1,4.5,6,1,4,3,,1,5,1,4.5,,2,1,1,5,4.5
4,4,5,5,5,5,5,2,38,,3,5,5,3,5,7,6,1,18,3,5,1,1,5,1,5,1,1,23,,1,4.5,5,1,5,6,1,1,1,,1,5,1,4.5,,2,1,1,5,4.5
7,5,6,6,7,7,7,1,31,,7,7,7,5,7,7,6,1,31,6,3,2,5,4,2,5,3,1,23,,1,6,7,1,7,6,1,2,3,,1,7,1,6,,2,1,1,7,6
4,5,5,5,6,7,7,2,25,,4,3,3,4,3,7,2,1,29,5,4,4,5,4,4,5,4,1,30,,1,5.5,7,1,3,2,1,4,4,,1,7,1,5.5,,2,1,1,7,5.5
,,,,,,,,,,3,5,5,3,5,6,6,1,25,2,4,4,3,4,3,4,4,1,37,,2,4,6,1,5,6,1,3.5,4,,1,6,2,4,,2,1,2,6,4
,,,,,,,,,,4,5,5,4,5,6,6,2,27,5,3,3,2,3,3,4,3,1,28,,2,4,4,1,5,6,1,3,3,,1,4,2,4,,2,1,2,4,4
,,,,,,,,,,2,6,7,2,6,6,5,1,32,5,5,2,2,5,2,6,3,2,24,,2,5,6,1,6,5,1,2,3,,1,6,2,5,,2,1,2,6,5
,,,,,,,,,,4,5,5,4,5,5,5,1,35,4,4,2,3,6,3,6,3,1,48,,2,5.5,6,1,5,5,1,2.5,3,,1,6,2,5.5,,2,1,2,6,5.5
,,,,,,,,,,3,4,4,2,4,5,4,2,55,5,5,6,7,6,5,6,6,2,32,,2,4,6,1,4,4,1,5.5,6,,1,6,2,4,,2,1,2,6,4
,,,,,,,,,,5,3,4,5,4,7,7,2,27,3,4,3,3,4,4,2,3,2,43,,2,1,7,1,3.5,7,1,3.5,3,,1,7,2,1,,2,1,2,7,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4.5,7,2,4,5,2,5,6,,1,7,2,4.5,,2,1,2,7,4.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.5,2,2,2,1,2,4.5,6,,1,2,2,2.5,,2,1,2,2,2.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,5,2,5,4,2,5,5,,1,5,2,3,,2,1,2,5,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,7,2,4.5,4,2,1.5,1,,1,7,2,7,,2,1,2,7,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,6,2,2,5,2,4,5,,1,6,2,5,,2,1,2,6,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,7,2,5,5,2,5.5,7,,1,7,2,6,,2,1,2,7,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.5,6,2,1,4,2,1.5,1,,1,6,2,1.5,,2,1,2,6,1.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6.5,7,2,4.5,4,2,5.5,5,,1,7,2,6.5,,2,1,2,7,6.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,7,2,6,7,2,6,6,,1,7,2,3,,2,1,2,7,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5.5,6,2,5,7,2,2.5,5,,1,6,2,5.5,,2,1,2,6,5.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6.5,7,2,6,6,2,4.5,6,,1,7,2,6.5,,2,1,2,7,6.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3.5,4,2,5.5,7,2,5,6,,1,4,2,3.5,,2,1,2,4,3.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,7,2,5.5,6,2,4.5,5,,1,7,2,4,,2,1,2,7,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,7,2,6.5,7,2,5,6,,1,7,2,7,,2,1,2,7,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,7,2,2.5,6,2,4.5,4,,1,7,2,3,,2,1,2,7,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3.5,4,2,5,6,2,3,4,,1,4,2,3.5,,2,1,2,4,3.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,6,2,5,6,2,5,5,,1,6,2,6,,2,1,2,6,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5.5,7,2,4,7,2,5,2,,1,7,2,5.5,,2,1,2,7,5.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4.5,7,2,5.5,7,2,5,4,,1,7,2,4.5,,2,1,2,7,4.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,6,2,4,6,2,2,4,,1,6,2,4,,2,1,2,6,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,6,2,2.5,6,2,2.5,4,,1,6,2,4,,2,1,2,6,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4.5,4,2,4,7,2,5,6,,1,4,2,4.5,,2,1,2,4,4.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,7,2,2,6,2,5,6,,1,7,2,5,,2,1,2,7,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,6,2,5,7,2,5.5,6,,1,6,2,3,,2,1,2,6,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,5,2,2.5,7,2,5,6,,1,5,2,5,,2,1,2,5,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,7,2,3,5,2,3.5,5,,1,7,2,7,,2,1,2,7,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,7,2,7,7,2,5.5,7,,1,7,2,3,,2,1,2,7,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,7,2,3.5,7,2,1.5,3,,1,7,2,2,,2,1,2,7,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5.5,7,2,1.5,6,2,5,4,,1,7,2,5.5,,2,1,2,7,5.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,7,2,2,7,2,3,2,,1,7,2,4,,2,1,2,7,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,7,2,2,2,2,5,5,,1,7,2,7,,2,1,2,7,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,7,2,4.5,6,2,6,7,,1,7,2,5,,2,1,2,7,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,7,2,5.5,6,2,3.5,5,,1,7,2,7,,2,1,2,7,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,7,2,4.5,5,2,5,4,,1,7,2,1,,2,1,2,7,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,4,2,3,6,2,3,3,,1,4,2,4,,2,1,2,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.5,6,2,3,6,2,4,5,,1,6,2,2.5,,2,1,2,6,2.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,6,2,3.5,6,2,6.5,7,,1,6,2,5,,2,1,2,6,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,6,2,3.5,6,2,2.5,5,,1,6,2,4,,2,1,2,6,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5.5,6,2,4,4,2,5,5,,1,6,2,5.5,,2,1,2,6,5.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,7,2,5,7,2,5,5,,1,7,2,7,,2,1,2,7,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,6,2,4,5,2,4.5,5,,1,6,2,3,,2,1,2,6,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4.5,7,2,3.5,5,2,6,7,,1,7,2,4.5,,2,1,2,7,4.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,6,2,3,6,2,1,7,,1,6,2,1,,2,1,2,6,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,7,7,2,3.5,7,2,5,6,,1,7,2,7,,2,1,2,7,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5.5,7,2,3,5,2,3,6,,1,7,2,5.5,,2,1,2,7,5.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,3,2,4.5,7,2,5.5,7,,1,3,2,3,,2,1,2,3,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,7,2,3,7,2,4.5,6,,1,7,2,6,,2,1,2,7,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,2,5,5,2,4.5,5,,1,4,2,2,,2,1,2,4,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,7,2,4,6,2,2.5,4,,1,7,2,4,,2,1,2,7,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5.5,7,2,7,7,2,5,4,,1,7,2,5.5,,2,1,2,7,5.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2.5,6,2,4,6,2,5,6,,1,6,2,2.5,,2,1,2,6,2.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,5,2,4.5,6,2,4.5,5,,1,5,2,6,,2,1,2,5,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,6,2,5,5,2,3.5,2,,1,6,2,5,,2,1,2,6,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,6,2,4,5,2,5,5,,1,6,2,5,,2,1,2,6,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4.5,5,2,2,2,2,4,5,,1,5,2,4.5,,2,1,2,5,4.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6.5,7,2,5,6,2,6.5,7,,1,7,2,6.5,,2,1,2,7,6.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4.5,7,2,5,2,2,6,5,,1,7,2,4.5,,2,1,2,7,4.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,6,2,4,3,,2,4,1,5,,2,2,1,4,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4.5,5,2,3,6,,2,4,1,3.5,,2,2,1,4,3.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1.5,7,2,2,3,,2,1,1,3,,2,2,1,1,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,7,2,5,5,,2,4,1,4,,2,2,1,4,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,6,7,2,3.5,5,,2,5,1,4,,2,2,1,5,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,7,2,4,5,,2,6,1,6.5,,2,2,1,6,6.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,6,2,4,4,,2,5,1,5,,2,2,1,5,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4,6,2,3,4,,2,4,1,5.5,,2,2,1,4,5.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,6,2,5,6,,2,7,1,7,,2,2,1,7,7
